LABEL,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu & Willump,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Senna,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Sona,Soraka,Swain,Sylas,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,Xin Zhao,Yasuo,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Aatrox,0,0.427850068,0.578983445,0.476875518,0.397198455,0.426800279,0.429957357,0.452462761,0.467580194,0.470504091,0.584444571,0.605888695,0.556534245,0.45158526,0.478797395,0.504643808,0.665339447,0.434961767,0.552487405,0.553466899,0.562176366,0.354962118,0.478443793,0.446027569,0.514825835,0.534993457,0.655983585,0.561665624,0.571531927,0.470465715,0.436254544,0.576956018,0.554499408,0.630891394,0.491894393,0.486938535,0.496453503,0.466839569,0.53395292,0.712722186,0.52240612,0.550452488,0.554441297,0.578688308,0.474594779,0.546649858,0.529343383,0.412580774,0.499968607,0.517913825,0.607529436,0.397656742,0.54047019,0.545091241,0.390748207,0.643760953,0.615704505,0.457326415,0.576319981,0.519101735,0.398563692,0.435974377,0.583630035,0.49837749,0.81756727,0.488413471,0.371916743,0.472032473,0.47581361,0.446269579,0.524952461,0.540980989,0.497261083,0.555944762,0.542000762,0.565092732,0.483299856,0.52825572,0.521992693,0.506495793,0.586543778,0.447373081,0.449125458,0.463959748,0.676574098,0.525901612,0.474610422,0.527643749,0.402992496,0.438165099,0.485000817,0.440637179,0.632165708,0.538348165,0.693526897,0.531769128,0.615669743,0.448688683,0.619995791,0.423010598,0.562955989,0.356747075,0.491241632,0.380407591,0.658489615,0.465973079,0.658618511,0.3362039,0.574917515,0.691174274,0.390568936,0.454633903,0.502282319,0.564444152,0.45585389,0.539614087,0.482372331,0.515166746,0.600849578,0.589651296,0.545802227,0.63488838,0.393448601,0.61693292,0.493713944,0.4281311,0.542797962,0.577999834,0.425592694,0.375335432,0.520281826,0.42198079,0.56205062,0.500280405,0.405439461,0.556500596,0.667900316,0.290828031,0.452785374,0.422847847,0.538930889,0.399029365,0.587301203,0.454591893,0.563473828
Ahri,0.427850068,0,0.538697825,0.439838364,0.59547105,0.731203427,0.741045099,0.533584146,0.549560591,0.750500983,0.242023026,0.299136045,0.475539162,0.639339594,0.538188281,0.4684006,0.577860633,0.71745976,0.631768556,0.706997785,0.678266049,0.675746571,0.486345562,0.785827662,0.466767506,0.504508804,0.350032044,0.55965114,0.629903439,0.725357352,0.448175745,0.576627632,0.532983789,0.400637403,0.572495051,0.514747611,0.616230223,0.431061384,0.572603317,0.556129184,0.494936323,0.406401893,0.576320267,0.597184183,0.59560632,0.584935079,0.450885817,0.540574279,0.53201994,0.672680989,0.49681867,0.550888384,0.611477432,0.527079735,0.57956128,0.676408646,0.512909554,0.59138084,0.721824562,0.526483352,0.442356076,0.62106619,0.461334494,0.603031767,0.521292246,0.54529965,0.609260253,0.769739402,0.683814085,0.492803603,0.505127201,0.358486761,0.671082883,0.613268346,0.469107755,0.486266615,0.589862696,0.504014417,0.49881022,0.730507595,0.521802608,0.542655162,0.516130865,0.579156104,0.653866464,0.531108354,0.661105597,0.684090516,0.626167953,0.544710537,0.536117184,0.520385714,0.622060025,0.604536685,0.580472181,0.795527283,0.488011553,0.497799577,0.599888029,0.637391291,0.374547479,0.515635927,0.450619776,0.6485925,0.546883573,0.47202611,0.36199801,0.510142295,0.613445858,0.557501309,0.502567096,0.534573498,0.527439875,0.792483599,0.823043809,0.610515415,0.457797641,0.374260486,0.379792109,0.544409242,0.649098911,0.474277882,0.472993833,0.658324877,0.572293859,0.696872474,0.523183036,0.571718609,0.623453872,0.677564075,0.676253429,0.567546092,0.616513376,0.57472483,0.497353025,0.643123639,0.66419967,0.686938397,0.535597686,0.476045635,0.804705286,0.587844675,0.694336405,0.857718879,0.476890221
Akali,0.578983445,0.538697825,0,0.41319198,0.448667134,0.298171327,0.445256741,0.509343831,0.551423293,0.61992425,0.796698658,0.506301804,0.471211111,0.459399382,0.46570649,0.444694398,0.476142684,0.556279476,0.395682556,0.743853324,0.34049088,0.604954327,0.433651661,0.563194542,0.533704012,0.440782964,0.532143422,0.489531596,0.611708281,0.247683928,0.534407261,0.63692071,0.476729802,0.554653847,0.280752407,0.42329947,0.491844721,0.584135566,0.619693269,0.968965703,0.582835136,0.557648165,0.511823201,0.701421449,0.736852893,0.548400959,0.52084529,0.338060208,0.500203939,0.494058524,0.4716836,0.364284493,0.446674199,0.757368742,0.421816693,0.584926687,0.446486118,0.520872509,0.515436125,0.534897013,0.624110043,0.34322996,0.495246575,0.652510869,0.777017894,0.464046727,0.620277424,0.537541168,0.373122953,0.523211561,0.539619145,0.505467973,0.573329472,0.601638409,0.465585745,0.554327643,0.509005792,0.520600919,0.36460873,0.3422452,0.580175686,0.602459923,0.576828287,0.364162767,0.601823646,0.6518961,0.370232838,0.37240382,0.533317424,0.500539735,0.539062589,0.501354571,0.572877967,0.507557229,0.688767059,0.52980289,0.784050397,0.371937746,0.596970953,0.276786581,0.633821604,0.457723777,0.489712676,0.698190052,0.473686882,0.461407298,0.615306673,0.514662832,0.507630274,0.646112609,0.683865118,0.432051376,0.619464316,0.54699783,0.361688828,0.602987984,0.492657372,0.518149184,0.491053714,0.619522905,0.663936389,0.505462211,0.475016496,0.476818894,0.450402298,0.654675668,0.648741978,0.445016112,0.535926654,0.469057295,0.498908176,0.520055423,0.590861724,0.448660164,0.506369836,0.58569885,0.580841392,0.545307646,0.398564192,0.547800593,0.431632401,0.468229272,0.526311079,0.505475443,0.539264018
Alistar,0.476875518,0.439838364,0.41319198,0,0.458943066,0.485372088,0.688137533,0.523046158,0.678764901,0.515360183,0.510460814,0.361463626,0.429261209,0.448486667,0.570072447,0.529964571,0.48444869,0.419199232,0.472161872,0.510930998,0.50369603,0.494686832,0.53477504,0.508988315,0.441770338,0.433959583,0.617025958,0.476375687,0.490470756,0.448191403,0.590114538,0.561413056,0.536443933,0.435178264,0.627088281,0.466598922,0.483688668,0.439570248,0.557531046,0.402930379,0.552903473,0.444346962,0.501276796,0.455025846,0.563026153,0.542316848,0.550280434,0.500644421,0.549264969,0.489054689,0.548942172,0.45408795,0.464420209,0.568569649,0.492944301,0.488936086,0.508924898,0.467163366,0.475902301,0.562085035,0.597636633,0.400876728,0.347893808,0.47447505,0.41049974,0.667985523,0.700629052,0.547977883,0.553469841,0.538742486,0.480900255,0.795865112,0.472107403,0.515617653,0.45239666,0.501137548,0.661131441,0.491950585,0.503861001,0.479176264,0.487189711,0.516463747,0.396031141,0.58456874,0.488329148,0.54559488,0.596444082,0.352496984,0.450171021,0.504366413,0.475672041,0.435463727,0.51628037,0.443381767,0.492364527,0.433399752,0.355300956,0.444419565,0.524088164,0.48868014,0.412271969,0.52670637,0.533046802,0.591138429,0.490299759,0.540640709,0.35809936,0.549937102,0.546287628,0.430081106,0.468929243,0.755043689,0.585839492,0.44295795,0.245813346,0.641318028,0.644461551,0.527071862,0.422623374,0.493151741,0.363945915,0.461555405,0.547887914,0.447573075,0.527697316,0.571481257,0.543537097,0.763728773,0.428814171,0.463725778,0.420519818,0.517785548,0.576743058,0.524861034,0.576762685,0.444471205,0.384472879,0.534291125,0.687540409,0.538660609,0.436193129,0.534839335,0.383614009,0.488287379,0.309412586
Amumu,0.397198455,0.59547105,0.448667134,0.458943066,0,0.612641703,0.55105956,0.514392324,0.534583708,0.454527402,0.374983118,0.492047401,0.522988418,0.486314634,0.515201159,0.519719157,0.670582661,0.536140132,0.510947335,0.536834193,0.60332487,0.710757271,0.486891824,0.418483065,0.604465047,0.632095945,0.392634632,0.540406618,0.45337205,0.478764243,0.432073891,0.569084011,0.594455761,0.442708786,0.796798039,0.52628498,0.635924081,0.487166056,0.450166986,0.408283939,0.629151605,0.491170411,0.435583563,0.63226509,0.475226891,0.535575659,0.540917528,0.433887823,0.5,0.532944479,0.773722253,0.49046442,0.559954554,0.53534973,0.62044546,0.510409511,0.435754641,0.747701558,0.563433783,0.506434776,0.376838533,0.856235792,0.53269659,0.438469727,0.486329258,0.469391232,0.446971481,0.450774942,0.515864409,0.60952683,0.259220056,0.485864891,0.459087649,0.502944868,0.522142539,0.468051007,0.515537547,0.471343256,0.562188143,0.690112885,0.603585571,0.586486287,0.466909632,0.572450765,0.503093768,0.481833256,0.492901113,0.619766466,0.515864268,0.472637913,0.73365914,0.591343328,0.478702553,0.520422223,0.437820303,0.530576966,0.41071965,0.711324717,0.53019172,0.519873406,0.579766654,0.546631711,0.731740521,0.600411342,0.442276765,0.45977598,0.522413523,0.512361125,0.528605649,0.454780524,0.456505536,0.492182261,0.552927502,0.443171835,0.578318262,0.544478659,0.504855302,0.434807862,0.715012782,0.431945712,0.490879873,0.497780426,0.558710875,0.500638354,0.516486414,0.441759301,0.436102165,0.465307552,0.840203655,0.481037871,0.58540889,0.500971554,0.513746569,0.509443813,0.45044578,0.519788802,0.420002021,0.554862653,0.507018376,0.619970128,0.474910787,0.471544497,0.598991368,0.471158268,0.550393945
Anivia,0.426800279,0.731203427,0.298171327,0.485372088,0.612641703,0,0.632514904,0.524083336,0.552289661,0.662171221,0.233464825,0.450541416,0.607516758,0.699073706,0.572730055,0.523853424,0.58838166,0.847930853,0.720946074,0.573166126,0.951259998,0.637664803,0.551398075,0.867141652,0.514585231,0.516356034,0.542845069,0.623232369,0.489742604,0.754806236,0.720089452,0.681106469,0.606864559,0.440576045,0.588283902,0.514580198,0.600077844,0.442223537,0.501772499,0.464488625,0.449557914,0.474734979,0.698848392,0.603409933,0.39914424,0.596473709,0.509722908,0.542532499,0.534358284,0.793080566,0.561003018,0.729554972,0.804290582,0.57627317,0.590367345,0.709282556,0.628154153,0.602532591,0.569505235,0.528210571,0.55097879,0.692146812,0.552067528,0.487355609,0.499831903,0.640248531,0.580187835,0.60015341,0.930187673,0.680508736,0.545359796,0.580696992,0.731885346,0.599999032,0.601980814,0.668908414,0.564554271,0.600769224,0.627596348,0.713042056,0.53305899,0.566828957,0.768236693,0.589172227,0.811245134,0.580662506,0.848118251,0.723362243,0.601092335,0.645923131,0.56376361,0.577686576,0.651382409,0.695034402,0.537976565,0.753884973,0.516893432,0.54594416,0.671686471,0.796352142,0.509163461,0.610429532,0.524150103,0.640977079,0.610052954,0.498142471,0.38541461,0.673883303,0.6663307,0.652691407,0.614205848,0.645702306,0.610019354,0.851233219,0.869128083,0.648486512,0.601815563,0.364079244,0.486999146,0.624249234,0.703991605,0.506536869,0.494741609,0.549525786,0.577647523,0.681304365,0.650618105,0.45748968,0.655420417,0.698862556,0.790290103,0.753005523,0.62317611,0.578970859,0.501029401,0.607484318,0.721544344,0.651394722,0.644685012,0.699684548,0.891380175,0.806536788,0.628916384,0.612509831,0.498615835
Annie,0.429957357,0.741045099,0.445256741,0.688137533,0.55105956,0.632514904,0,0.422110274,0.711795145,0.591057634,0.113179401,0.416162603,0.46986633,0.58258104,0.490702205,0.430133582,0.464316969,0.590648128,0.574577407,0.63779662,0.664086025,0.571743751,0.455559272,0.606921116,0.496808732,0.536540363,0.347750645,0.52964278,0.473732983,0.643512728,0.503207845,0.497889005,0.538272523,0.514203755,0.773908212,0.542126445,0.553047511,0.426515702,0.559511244,0.326813573,0.497492317,0.348022778,0.51950016,0.4828667,0.487149441,0.534600408,0.449152046,0.462385208,0.550000267,0.565688928,0.487867059,0.58184145,0.578621149,0.593314789,0.537094355,0.620655746,0.503691749,0.540019298,0.679985467,0.552530732,0.447519745,0.539912808,0.377115734,0.571247522,0.47245896,0.615899311,0.661757657,0.674366089,0.650202713,0.561182025,0.533038346,0.623239705,0.522805782,0.520126158,0.471689611,0.657979803,0.57658433,0.714445163,0.505094326,0.74305882,0.521982695,0.609482319,0.388863877,0.683590864,0.532988437,0.511080196,0.6590465,0.550802223,0.587750197,0.349136815,0.494663307,0.514848662,0.662249885,0.60161743,0.573514513,0.663955446,0.397194915,0.521645022,0.534619073,0.563806571,0.444816438,0.581995652,0.480886671,0.551408959,0.550430105,0.500131539,0.34269678,0.504673479,0.562888844,0.564372358,0.58278362,0.643074667,0.625777899,0.633588672,0.712693018,0.484289627,0.559680733,0.517914105,0.363034811,0.574264441,0.537939608,0.460981605,0.502507673,0.544769296,0.555179923,0.577069327,0.620076626,0.650453011,0.540629262,0.575985189,0.547764777,0.519986858,0.518559054,0.560688017,0.453802935,0.562215087,0.525554224,0.625570034,0.573066544,0.609001144,0.53402062,0.75255348,0.757895722,0.52276186,0.510939198
Aphelios,0.452462761,0.533584146,0.509343831,0.523046158,0.514392324,0.524083336,0.422110274,0,0.597885842,0.473646324,0.584646419,0.483181863,0.453722621,0.490220162,0.520067989,1.102233541,0.457524822,0.458543666,0.422678112,0.530831737,0.453882557,0.580668562,0.882702844,0.471876409,0.472427564,0.464388063,0.806024941,0.434247739,0.454024941,0.536635667,0.617100525,0.592336372,0.577481753,0.475315247,0.462281649,0.453509417,0.475270451,0.46254296,0.556327358,0.571479803,0.504075282,0.566150111,0.52498186,0.559176348,0.368756705,0.645513067,1.008194939,0.958408588,0.855439571,0.480029131,0.483228826,0.442543599,0.492792621,0.597070307,0.543427056,0.541472639,0.467231447,0.470828409,0.511332788,0.681250469,0.521196688,0.476852476,0.464043457,0.531886754,0.650754247,0.478844235,0.536468511,0.483495495,0.503118782,0.549667691,0.496584151,0.555084321,0.506226404,0.543646819,0.46100729,0.409477375,0.561947708,0.550443716,0.448304573,0.378858281,0.568185377,0.452596816,0.526751493,0.437119818,0.444482153,0.381449508,0.49742079,0.405751177,0.468392707,0.536594567,0.55458852,0.489555313,0.372781467,0.457503657,0.509454129,0.470979002,0.479006852,0.421238743,0.552283948,0.523110013,0.552993979,0.483673104,0.495200386,0.495726075,0.484235963,0.685393669,0.538766959,0.493859751,0.523979473,0.633836544,0.691691139,0.492917181,0.380419989,0.422071776,0.479448383,0.556251691,0.499214495,0.67667521,0.479486377,0.510398285,0.559854765,0.455742466,0.495924735,0.492574239,0.724301031,0.604829476,0.602480339,0.373881252,0.540313163,0.508570444,0.496865667,0.510830514,0.568297961,0.905265741,0.456078802,0.541275389,0.558702113,0.639652156,0.428824683,0.53623615,0.439414717,0.677993469,0.459747763,0.429109834,0.492025052
Ashe,0.467580194,0.549560591,0.551423293,0.678764901,0.534583708,0.552289661,0.711795145,0.597885842,0,0.372678326,0.551474539,0.41133443,0.45626558,0.567165334,0.533287847,0.514441337,0.489162117,0.730678353,0.427565689,0.472326264,0.481613591,0.479730635,0.517496275,0.466003823,0.464719256,0.466573509,0.54983595,0.470031892,0.533700575,0.555152503,0.670060007,0.528909076,0.509240817,0.506259652,0.658577156,0.469874422,0.461344576,0.659487661,0.504716074,0.571046851,0.498763435,0.416334663,0.532910988,0.638739615,0.439872085,0.801312681,0.931099885,0.362413889,0.72983109,0.615447564,0.465772819,0.50032438,0.545091657,0.523921242,0.527754232,0.518410258,0.471736265,0.460936706,0.442456296,0.674454706,0.582644026,0.540622484,0.36290971,0.641602409,0.749723455,0.574031292,0.647637937,0.543156499,0.518528574,0.523202653,0.422382263,0.959968827,0.490375829,0.628421669,0.484490788,0.468312644,0.59580066,0.567258088,0.473922886,0.437866227,0.525464031,0.502889536,0.617996134,0.507460691,0.482473877,0.484105709,0.541351422,0.526323285,0.492635375,0.40807635,0.532909861,0.503169237,0.514164787,0.508045635,0.477261425,0.547032211,0.50371966,0.476935672,0.872681336,0.430312277,0.423908952,0.476193309,0.45280002,0.519758585,0.50478329,0.686880779,0.37218699,0.468164754,0.591682197,0.599768963,0.69402318,0.633374263,0.756153363,0.521255281,0.424791262,0.626581942,0.528267488,0.349167693,0.417003629,0.58367963,0.60020266,0.549990157,0.50123656,0.502253203,0.773711394,0.690727821,0.584707007,0.506943895,0.534168174,0.571468088,0.552733186,0.485682417,0.515425902,0.708898991,0.634412252,0.523586667,0.635305339,0.511026452,0.623244703,0.494616816,0.497273668,0.69810835,0.360044695,0.478515554,0.51923775
Aurelion Sol,0.470504091,0.750500983,0.61992425,0.515360183,0.454527402,0.662171221,0.591057634,0.473646324,0.372678326,0,0.554773539,0.447745826,0.467442752,0.523764304,0.514948801,0.468060855,0.432116206,0.598085605,0.743932419,0.72388879,0.691513644,0.658909704,0.405316586,0.702085367,0.655739031,0.425672943,0.527256035,0.507055596,0.632701995,0.830154874,0.507143149,0.608066137,0.542611193,0.431450855,0.522672871,0.609438914,0.524573561,0.401092812,0.566613785,0.525760926,0.552736149,0.476622675,0.604164149,0.503237599,0.619397908,0.499766154,0.395607168,0.511313663,0.5,0.524104586,0.413810675,0.668130475,0.593244275,0.376561548,0.498443841,0.519851966,0.609975476,0.533901331,0.634608499,0.492617391,0.554221546,0.626288157,0.453489964,0.302444825,0.379006785,0.515861673,0.700370387,0.733803594,0.697568977,0.568168706,0.619010672,0.38805156,0.641050299,0.473497634,0.462791971,0.590538974,0.544032249,0.580290091,0.550471713,0.635804567,0.443352078,0.602904142,0.467646904,0.735123038,0.56738398,0.686443802,0.767777532,0.570628889,0.783943665,0.5,0.528185847,0.604986793,0.765452769,0.671789101,0.594723783,0.59731246,0.457525475,0.489353804,0.44527697,0.543751994,0.477091378,0.541243225,0.5113273,0.611647437,0.635015145,0.449012634,0.429868176,0.508543,0.465196034,0.660175042,0.431072296,0.544846403,0.644596873,0.642844928,0.722513282,0.498427745,0.492950809,0.515620765,0.448987525,0.542803837,0.526139162,0.457207292,0.447264062,0.502336914,0.524156539,0.638607182,0.497216682,0.670741358,0.515020723,0.447917105,0.629387066,0.551098499,0.479414936,0.531198978,0.295345,0.461815149,0.637310657,0.529074211,0.528572225,0.551549813,0.739437661,0.724058799,0.642439274,0.560280432,0.47222769
Azir,0.584444571,0.242023026,0.796698658,0.510460814,0.374983118,0.233464825,0.113179401,0.584646419,0.551474539,0.554773539,0,0.572115674,0.527545356,0.524389786,0.423838436,0.588013171,0.360336449,0.342635244,0.288194127,0.487367249,0.327394912,0.572468651,0.568531127,0.251913384,0.554807455,0.421594168,0.721724233,0.459936681,0.518993376,0.345824576,0.693856489,0.52265446,0.348237182,0.469357264,0.309636171,0.448032487,0.525901967,0.672281971,0.503505595,0.782104248,0.508007991,0.502552696,0.509513695,0.431158242,0.514293369,0.510698463,0.612372832,0.487990979,0.5,0.44113177,0.496729887,0.467096511,0.628409796,0.410152869,0.42164331,0.319709046,0.542461245,0.453947384,0.416859254,0.51661087,0.930406705,0.423657567,0.561345133,0.781526091,0.7164796,0.581616623,0.783601903,0.437506861,0.372864046,0.578883923,0.512191082,0.596103966,0.365314835,0.635029465,0.539212772,0.372593488,0.556557904,0.535387783,0.439894407,0.324201646,0.509810321,0.498261111,0.884383297,0.479044316,0.391308227,0.535045929,0.260512171,0.450451357,0.381053769,0.460050618,0.563558541,0.506511053,0.340836756,0.447181261,0.473357893,0.276285569,0.776776273,0.430879178,0.502493343,0.290636805,0.607818427,0.517916302,0.523639055,0.543580089,0.525457761,0.537991603,0.604391624,0.531873463,0.250609379,0.640510554,0.873299958,0.436467596,0.545462192,0.406433454,-0.01265154,0.560550983,0.553841232,0.654816484,0.465412523,0.430716935,0.617119989,0.5,0.491992041,0.536965729,0.453758761,0.526161544,0.655763407,0.53037509,0.415354687,0.377943883,0.43408391,0.43906969,0.480289465,0.443175379,0.637208118,0.400689001,0.540306437,0.472688343,0.391712164,0.498950927,0.333465315,0.52712111,0.159956363,0.339507809,0.521025118
Bard,0.605888695,0.299136045,0.506301804,0.361463626,0.492047401,0.450541416,0.416162603,0.483181863,0.41133443,0.447745826,0.572115674,0,0.834132358,0.283232331,0.41078492,0.466801292,0.594276032,0.430935987,0.438120963,0.455969039,0.541183954,0.451790131,0.498350178,0.425782491,0.521561238,0.536050828,0.509428638,0.486937446,0.465697843,0.482608058,0.373543592,0.539872201,0.469544943,0.513653246,0.508018597,0.518782125,0.473199551,0.454984618,0.504049055,0.51685056,0.535209551,0.769372713,0.443805148,0.499465436,0.505585187,0.422632071,0.400890918,0.578954582,0.459067541,0.481317529,0.520432496,0.482520724,0.552685744,0.503762471,0.518603655,0.507136637,0.462930209,0.443791479,0.41462954,0.435042048,0.491845911,0.591412858,0.79623334,0.499682071,0.538741074,0.852877736,0.244134029,0.403778975,0.358979464,0.471906603,0.409279162,0.305268836,0.421063023,0.531703248,0.942242695,0.444566295,0.35647165,0.486265731,0.500869242,0.46667707,0.387338677,0.510280238,0.563064045,0.349002309,0.551432528,0.454256738,0.338795337,0.584484448,0.480753888,0.457286989,0.418649558,0.526600394,0.539485324,0.464642647,0.470279456,0.484116228,0.595436726,0.579728626,0.604515555,0.329313412,0.749552973,0.436995878,0.392809239,0.426209658,0.532999484,0.516294819,1.042803848,0.588514279,0.636037468,0.566649051,0.550245935,0.230602508,0.455412712,0.517015087,0.71515921,0.458553839,0.565993267,0.524489275,0.498021169,0.424790959,0.404569604,0.531942207,0.552271238,0.461347935,0.477589391,0.458760507,0.389992691,0.471653269,0.482695269,0.47490078,0.446795191,0.402579859,0.387877514,0.490106077,0.397768691,0.471165664,0.473372055,0.303711004,0.430405659,0.427490675,0.53351474,0.507061975,0.896959639,0.45383205,0.851095774
Blitzcrank,0.556534245,0.475539162,0.471211111,0.429261209,0.522988418,0.607516758,0.46986633,0.453722621,0.45626558,0.467442752,0.527545356,0.834132358,0,0.72897313,0.492455727,0.441969495,0.609368553,0.543005973,0.422067097,0.479702969,0.567309733,0.542253242,0.479399142,0.483252204,0.546469323,0.615417375,0.500464114,0.558552561,0.456500666,0.591271538,0.372728613,0.477570094,0.485985351,0.465670547,0.545497265,0.569957761,0.53837426,0.486073415,0.492989782,0.570813452,0.44816711,0.526599805,0.564206075,0.488223853,0.525924887,0.415560847,0.404293978,0.512429491,0.453244148,0.6531982,0.471525083,0.610118069,0.638721616,0.555513817,0.4629068,0.504454702,0.526880374,0.495917832,0.44161823,0.434988389,0.570380799,0.563623545,1.036129037,0.546254006,0.590636072,0.761851498,0.523264878,0.494902232,0.420966463,0.638561071,0.526567348,0.32146937,0.520990814,0.464200791,1.067902333,0.464045159,0.73068698,0.425500629,0.512307176,0.605216538,0.456511317,0.575924969,0.667808808,0.415434304,0.560475077,0.55399387,0.661916562,0.730440365,0.454704624,0.694112898,0.476786173,0.593150788,0.485693847,0.558335702,0.417416703,0.627677781,0.650783285,0.61449288,0.517332913,0.408920614,0.734820024,0.46888957,0.485178654,0.461212273,0.520560508,0.510709791,0.866163114,0.757461252,0.704814109,0.574877983,0.588673369,0.400582758,0.48074618,0.660797477,0.638623327,0.442593829,0.791535378,0.495696412,0.480427821,0.380293389,0.539006413,0.536486571,0.458797783,0.468129579,0.446448948,0.464286748,0.38592911,0.512295805,0.523548215,0.549853932,0.583655392,0.450226478,0.3809668,0.457302309,0.620736212,0.477719459,0.510047397,0.413346107,0.68792187,0.59837972,0.594345461,0.543260886,0.64421249,0.453359059,0.871982174
Brand,0.45158526,0.639339594,0.459399382,0.448486667,0.486314634,0.699073706,0.58258104,0.490220162,0.567165334,0.523764304,0.524389786,0.283232331,0.72897313,0,0.579874442,0.498761449,0.572908868,0.580969316,0.508922064,0.525824984,0.528860978,0.607256076,0.494023338,0.495775901,0.465276118,0.464179009,0.527792522,0.401713645,0.42058722,0.611601892,0.717754558,0.473372336,0.50872936,0.488532831,0.531322791,0.493912179,0.562223734,0.58010239,0.463539336,0.449679136,0.447617436,0.553954233,0.462938137,0.435778212,0.53565206,0.571030921,0.508834692,0.482626838,0.54308203,0.620567135,0.467978044,0.660145006,0.615831321,0.508955724,0.404789553,0.513881524,0.52337461,0.49655473,0.627130994,0.552894395,0.608680431,0.459105939,0.706388854,0.676464274,0.558818023,0.623522259,0.646696014,0.522879917,0.554857497,0.402523703,0.46339268,0.435060349,0.498155099,0.715622296,0.744019859,0.569993311,0.737690264,0.70133204,0.523899511,0.628598929,0.504745191,0.467574095,0.639641933,0.579209835,0.484915824,0.516053577,0.690101746,0.648385679,0.521212177,0.715062366,0.534959927,0.467849298,0.548578012,0.592026257,0.397384582,0.567471049,0.603387928,0.52318778,0.708656607,0.446070761,0.48211768,0.442286328,0.532819817,0.55724861,0.540249843,0.498519664,0.473427095,0.589071742,0.649821052,0.503436878,0.648881129,0.67410055,0.475074708,0.612074526,0.625230228,0.541880836,0.564566265,0.536506174,0.471735761,0.478417957,0.625636364,0.466380346,0.44458038,0.539427584,0.562520534,0.544695135,0.548554949,0.609548862,0.463947994,0.524520652,0.595075728,0.60274644,0.477036705,0.559057315,0.707536247,0.46405272,0.609230475,0.507585027,0.440618941,0.425349127,0.598857742,0.422582927,0.416687988,0.539999103,0.528349451
Braum,0.478797395,0.538188281,0.46570649,0.570072447,0.515201159,0.572730055,0.490702205,0.520067989,0.533287847,0.514948801,0.423838436,0.41078492,0.492455727,0.579874442,0,0.526626219,0.494103127,0.521790902,0.506514794,0.508634552,0.485555446,0.518182044,0.531207498,0.542713226,0.569791421,0.5684801,0.532595973,0.46421871,0.540770728,0.487379257,0.576501308,0.502351952,0.515363192,0.481313999,0.454539107,0.527407016,0.538858097,0.470072866,0.553024313,0.394880641,0.451021252,0.82010262,0.609101742,0.496662163,0.532021712,0.538724788,0.54647509,0.497912323,0.545083118,0.712960354,0.474251208,0.482130333,0.447029233,0.534086739,0.508611494,0.497017992,0.499203641,0.530269504,0.512570159,0.557117184,0.538502281,0.529971667,0.736055681,0.39654357,0.497594675,0.678057948,0.775758223,0.655101586,0.477459493,0.547919224,0.599364914,0.698648948,0.517966499,0.771582545,0.517757147,0.505989972,0.819588867,0.63562759,0.485307983,0.461837774,0.5441684,0.582503468,0.473402566,0.604483723,0.461430245,0.576335422,0.73297095,0.513290088,0.455717267,0.822213495,0.53546087,0.548888887,0.488922898,0.483639706,0.541940421,0.566864435,0.464859442,0.513559285,0.503026932,0.623221797,0.656753571,0.713600634,0.520797895,0.535286331,0.490559554,0.537067794,0.359406224,0.664706652,0.62332934,0.412411545,0.459882693,0.503793889,0.598422995,0.431530597,0.601641857,0.49513295,0.693404092,0.523712133,0.538845327,0.55312815,0.543957474,0.46481877,0.446140424,0.495553011,0.524284495,0.5298988,0.538421878,0.694894787,0.563819353,0.450570275,0.53748513,0.570956401,0.468837413,0.521593946,0.519956771,0.561136501,0.617119645,0.588993942,0.995249427,0.697360324,0.517495564,0.412221922,0.725101447,0.530781276,0.491347707
